Number One,Number Two,Their GCD,Time Spent (Milliseconds)
11035,705748,1,0.0438
73095,734114,1,0.2882
383502,697247,1,1.5158
753168,55801,1,0.2221
403119,794237,1,1.6001
28483,159555,1,0.1124
442274,160652,2,0.6327
323946,772508,2,1.2803
731553,234085,1,0.9211
198669,493455,3,0.782
491009,879396,1,1.9441
648006,109128,6,0.4299
326420,731188,4,1.2852
523402,407034,2,1.6079
213451,624830,1,0.8931
758210,982803,1,2.9918
234603,259627,1,0.9288
977387,394256,1,1.5568
842264,955234,2,3.3701
905540,152117,1,0.6064
400944,294396,12,1.1591
78286,578367,1,0.3085
913602,922130,2,3.6031
396047,736581,1,1.6774
498919,961798,1,1.9916
66404,605160,4,0.2976
793806,910698,6,3.1635
13969,961798,1,0.0553
635292,182176,4,0.7315
804584,233184,8,0.9308
405091,667606,1,1.6101
339335,125115,5,0.4986
34167,117650,1,0.1348
814403,660972,1,2.6185
673225,802839,1,2.799
944869,229383,1,0.9479
345657,411989,1,1.3799
287283,981045,129,1.1432
973564,640942,2,2.5399
819976,750532,4,3.0143
861948,34868,92,0.1386
693505,360834,1,1.4317
599756,335768,4,1.3267
53081,94026,1,0.2091
37771,516590,1,0.1487
202172,889886,2,0.8123
438793,402057,1,1.5957
429954,470407,7,1.7557
792772,514710,2,2.0481
939429,965006,1,3.715
479246,80579,1,0.3311
675787,619122,7,2.456
642616,944524,4,2.5493
512276,908294,2,2.0308
517931,151682,1,0.5968
929326,223947,1,1.1811
872132,376756,4,1.5279
559418,28560,2,0.1125
959418,28995,3,0.115
567338,693730,2,2.2788
319505,510843,1,1.3077
560714,288828,2,1.1418
856725,267585,15,1.0659
613764,818345,1,2.4344
569885,965413,1,2.2656
166652,671049,1,0.6695
104111,895274,1,0.4159
684854,822076,2,2.8173
313875,987864,3,1.2424
508222,539399,1,2.0158
947457,952699,1,3.9229
726415,908403,1,2.9402
970562,113212,2,0.4459
693419,696437,1,2.7419
862880,443007,1,1.8086
854855,727929,1,2.8864
140157,485761,1,0.5574
