Number One,Number Two,Their GCD,Time Spent (Milliseconds)
555301,967471,1,4.97475
480015,81987,3,0.714036
608295,959635,5,5.64317
962003,494140,1,4.38563
661792,306161,1,2.84714
195595,42687,1,0.411078
220972,87560,4,0.762345
162562,325348,2,1.44888
101114,579645,1,0.834859
888927,271340,1,2.73612
350935,794220,5,3.1532
558985,509857,1,4.83562
588338,354753,1,3.24372
974533,902156,1,8.36489
179513,786271,1,1.67332
827494,665130,2,6.26269
722126,403076,2,3.59348
589791,603280,1,5.2415
377069,80885,7,0.736641
325986,769352,2,3.01898
598950,693774,18,5.37212
481099,374340,1,4.55517
98707,539020,1,0.859663
89421,550816,1,0.779148
275191,543265,1,2.48127
254592,559872,1152,2.43096
805916,805667,1,7.18317
275054,949135,1,2.47347
500045,57958,1,0.505797
516826,796905,1,4.7027
2315,32058,1,0.020504
999278,789369,7,7.29489
991699,668604,1,5.94803
70023,465566,1,0.690732
153193,592209,1,1.36756
222690,39392,2,0.344666
612255,633501,3,5.47864
296782,655606,2,2.77663
457014,294942,6,2.6252
201333,660689,1,1.85185
41252,137035,1,0.391975
195458,440659,1,1.72353
347890,17673,1,0.185836
995166,809850,6,7.56984
723262,635181,1,4.44295
10470,202261,1,0.067713
672787,926307,1,4.36473
227416,801565,1,1.82285
731171,872130,7,3.82713
931436,568887,11,2.91235
619341,248349,3,1.27634
345198,9573,3,0.04871
787848,30242,2,0.153029
179621,158308,1,0.719437
63328,962858,2,0.26395
864059,546345,1,2.51088
187378,715259,1,0.819657
383012,598275,1,1.61141
74505,904185,15,0.310359
619747,476640,1,1.99888
591501,177604,1,0.764945
804403,930451,1,3.6569
588128,408282,2,1.96497
770536,900477,1,3.49767
60901,905695,1,0.363269
427096,59444,4,0.355268
44215,727363,1,0.378172
461391,489422,1,2.58119
453737,537725,1,2.6516
819630,856461,3,6.67937
226750,614120,10,2.25393
37645,35507,1,0.226843
627410,157146,2,1.0481
368025,824506,1,2.41026
462777,432875,1,2.74742
76543,127440,1,0.489693
198677,59831,1,0.407978
809842,448760,2,2.82674
158831,748093,1,0.979987
55095,285320,5,0.327363
741620,323658,2,2.1205
306086,854075,1,1.99188
316390,669692,2,2.0774
140312,632090,2,0.990289
907835,405881,1,2.72662
939225,473504,1,3.09399
391269,933686,1,2.6389
120621,417614,1,0.770147
339659,797741,1,2.19112
212889,447632,1,1.74843
781061,840789,1,5.13268
567967,61947,1,0.395775
804533,126410,1,0.823256
826083,937220,1,5.61117
815585,258046,1,1.68022
827568,703169,1,4.57597
470174,168013,1,1.10221
242533,161229,1,1.18453
667954,45939,1,0.276552
132227,513829,1,0.875666
923310,191282,2,1.26954
689656,530577,1,3.48887
283153,471202,1,1.95627
483595,409773,7,2.71622
575947,346359,1,2.25723
997901,827392,1,7.99322
624095,124789,1,1.42687
755541,862582,1,5.65638
