Number One,Number Two,Their GCD,Time Spent (Milliseconds)
54956,188705,11,0.216
882418,683407,1,2.7519
503108,651140,4,2.0932
138201,478252,1,0.5518
197004,958039,1,0.7796
308793,401182,1,1.2209
515240,585684,44,2.0281
319611,744170,1,1.2936
582255,904381,19,2.2985
424010,889958,2,1.664
63646,135209,1,0.2556
320650,164067,1,0.6594
11035,705748,1,0.0435
73095,734114,1,0.3013
383502,697247,1,1.5156
753168,55801,1,0.2214
403119,794237,1,1.8731
28483,159555,1,0.1246
442274,160652,2,0.6306
323946,772508,2,1.3
731553,234085,1,0.9456
198669,493455,3,0.7862
491009,879396,1,1.9326
648006,109128,6,0.4391
326420,731188,4,1.3442
523402,407034,2,1.6009
213451,624830,1,0.8409
758210,982803,1,3.1309
234603,259627,1,1.1618
977387,394256,1,1.8959
842264,955234,2,3.6971
905540,152117,1,0.6797
400944,294396,12,1.2797
78286,578367,1,0.3179
913602,922130,2,3.9792
396047,736581,1,1.733
498919,961798,1,2.2442
66404,605160,4,0.7005
793806,910698,6,3.5679
13969,961798,1,0.0551
635292,182176,4,0.7156
804584,233184,8,0.9563
405091,667606,1,1.5995
339335,125115,5,0.4979
34167,117650,1,0.1343
814403,660972,1,2.5971
673225,802839,1,2.6568
944869,229383,1,0.909
345657,411989,1,3.02
287283,981045,129,1.7196
973564,640942,2,3.7355
819976,750532,4,4.4083
861948,34868,92,0.2082
693505,360834,1,2.0511
599756,335768,4,1.3392
53081,94026,1,0.2087
37771,516590,1,0.1542
202172,889886,2,1.6944
438793,402057,1,1.6761
429954,470407,7,1.7138
792772,514710,2,2.3824
939429,965006,1,4.297
479246,80579,1,0.3164
675787,619122,7,2.4534
642616,944524,4,2.7879
512276,908294,2,3.1048
517931,151682,1,0.6253
929326,223947,1,0.926
872132,376756,4,1.5025
559418,28560,2,0.1123
959418,28995,3,0.1149
567338,693730,2,2.4567
319505,510843,1,1.2878
560714,288828,2,1.3476
856725,267585,15,1.1897
613764,818345,1,3.0042
569885,965413,1,3.3411
166652,671049,1,0.9549
104111,895274,1,0.5826
684854,822076,2,3.7345
313875,987864,3,1.3332
508222,539399,1,1.9991
947457,952699,1,4.3602
726415,908403,1,3.1296
970562,113212,2,0.594
693419,696437,1,4.184
862880,443007,1,1.9125
854855,727929,1,3.3025
140157,485761,1,0.7839
